Stock,Model,Date,Actual,Predict,Abs_Error,Day_APE,Test_R2,Model_RMSE,Model_MAE,Model_MAPE
VNM,Baseline,10/11/2025,57000.0,57293.37,293.37109375,0.5146861293859649,0.698587300727818,2787.5544837724697,2406.25390625,3.9304570564177332
VNM,PSO-BiLSTM,10/11/2025,57000.0,57906.348,906.34765625,1.5900836074561404,0.7359914772175989,2228.3511841718305,1995.92578125,3.2729527278602997
VNM,Baseline,11/11/2025,58900.0,57288.99,1611.01171875,2.7351642084040746,0.698587300727818,2787.5544837724697,2406.25390625,3.9304570564177332
VNM,PSO-BiLSTM,11/11/2025,58900.0,57817.496,1082.50390625,1.8378674129881156,0.7359914772175989,2228.3511841718305,1995.92578125,3.2729527278602997
VNM,Baseline,12/11/2025,59800.0,57565.004,2234.99609375,3.7374516617892977,0.698587300727818,2787.5544837724697,2406.25390625,3.9304570564177332
VNM,PSO-BiLSTM,12/11/2025,59800.0,58152.574,1647.42578125,2.7548926107859533,0.7359914772175989,2228.3511841718305,1995.92578125,3.2729527278602997
VNM,Baseline,13/11/2025,61800.0,57985.773,3814.2265625,6.17188764158576,0.698587300727818,2787.5544837724697,2406.25390625,3.9304570564177332
VNM,PSO-BiLSTM,13/11/2025,61800.0,58654.74,3145.26171875,5.089420256877022,0.7359914772175989,2228.3511841718305,1995.92578125,3.2729527278602997
VNM,Baseline,14/11/2025,62800.0,58722.336,4077.6640625,6.493095640923567,0.698587300727818,2787.5544837724697,2406.25390625,3.9304570564177332
VNM,PSO-BiLSTM,14/11/2025,62800.0,59601.91,3198.08984375,5.092499751194268,0.7359914772175989,2228.3511841718305,1995.92578125,3.2729527278602997
VNM,Baseline,17/11/2025,,59600.406,,,0.698587300727818,2787.5544837724697,2406.25390625,3.9304570564177332
VNM,PSO-BiLSTM,17/11/2025,,60748.637,,,0.7359914772175989,2228.3511841718305,1995.92578125,3.2729527278602997
META,Baseline,10/11/2025,631.76,661.3578,29.59778808593751,4.684973421226021,0.8159860515334754,31.276957995021462,30.92766357421874,5.015224896083153
META,PSO-BiLSTM,10/11/2025,631.76,627.3055,4.454519042968741,0.7050967207434375,0.9137498763747643,7.80017501460655,6.692862792968754,1.0908852590216656
META,Baseline,11/11/2025,627.08,654.5345,27.45448486328121,4.378147104561014,0.8159860515334754,31.276957995021462,30.92766357421874,5.015224896083153
META,PSO-BiLSTM,11/11/2025,627.08,624.614,2.465986328125041,0.3932490795632201,0.9137498763747643,7.80017501460655,6.692862792968754,1.0908852590216656
META,Baseline,12/11/2025,609.01,648.5014,39.49140380859376,6.48452468901886,0.8159860515334754,31.276957995021462,30.92766357421874,5.015224896083153
META,PSO-BiLSTM,12/11/2025,609.01,622.93756,13.927561035156259,2.2869182829766768,0.9137498763747643,7.80017501460655,6.692862792968754,1.0908852590216656
META,Baseline,13/11/2025,609.89,641.6204,31.730422363281264,5.202646766348237,0.8159860515334754,31.276957995021462,30.92766357421874,5.015224896083153
META,PSO-BiLSTM,13/11/2025,609.89,617.73566,7.845656738281264,1.2864052104939028,0.9137498763747643,7.80017501460655,6.692862792968754,1.0908852590216656
META,Baseline,14/11/2025,609.46,635.8242,26.364218749999964,4.325832499261635,0.8159860515334754,31.276957995021462,30.92766357421874,5.015224896083153
META,PSO-BiLSTM,14/11/2025,609.46,614.2306,4.770590820312464,0.7827570013310904,0.9137498763747643,7.80017501460655,6.692862792968754,1.0908852590216656
META,Baseline,17/11/2025,,631.0442,,,0.8159860515334754,31.276957995021462,30.92766357421874,5.015224896083153
META,PSO-BiLSTM,17/11/2025,,611.90295,,,0.9137498763747643,7.80017501460655,6.692862792968754,1.0908852590216656
GOOG,Baseline,10/11/2025,290.59,264.71613,25.873874511718725,8.903910840606603,0.9122236062387276,19.055660743348145,17.479916259765627,6.076297287689656
GOOG,PSO-BiLSTM,10/11/2025,290.59,275.02734,15.562656249999975,5.355537441068163,0.9563010289424854,10.220657383494103,8.089849121093744,2.79326518197201
GOOG,Baseline,11/11/2025,291.74,266.61218,25.12781738281251,8.61308609817389,0.9122236062387276,19.055660743348145,17.479916259765627,6.076297287689656
GOOG,PSO-BiLSTM,11/11/2025,291.74,277.1917,14.548288574218759,4.986730847404798,0.9563010289424854,10.220657383494103,8.089849121093744,2.79326518197201
GOOG,Baseline,12/11/2025,287.43,268.42642,19.003577880859382,6.611549901144412,0.9122236062387276,19.055660743348145,17.479916259765627,6.076297287689656
GOOG,PSO-BiLSTM,12/11/2025,287.43,279.325,8.104987792968757,2.8198127519635237,0.9563010289424854,10.220657383494103,8.089849121093744,2.79326518197201
GOOG,Baseline,13/11/2025,279.12,269.34827,9.771733398437505,3.5009076377319808,0.9122236062387276,19.055660743348145,17.479916259765627,6.076297287689656
GOOG,PSO-BiLSTM,13/11/2025,279.12,279.86548,0.7454785156249955,0.2670817267214802,0.9563010289424854,10.220657383494103,8.089849121093744,2.79326518197201
GOOG,Baseline,14/11/2025,276.98,269.35742,7.622578125000018,2.752031960791399,0.9122236062387276,19.055660743348145,17.479916259765627,6.076297287689656
GOOG,PSO-BiLSTM,14/11/2025,276.98,278.46783,1.4878344726562318,0.5371631427020838,0.9563010289424854,10.220657383494103,8.089849121093744,2.79326518197201
GOOG,Baseline,17/11/2025,,269.04,,,0.9122236062387276,19.055660743348145,17.479916259765627,6.076297287689656
GOOG,PSO-BiLSTM,17/11/2025,,276.6649,,,0.9563010289424854,10.220657383494103,8.089849121093744,2.79326518197201
